			800	800	800	1000	1000	1000	1200	1200	1200	1400	1400	1400	1600	1600	1600	1800	1800	1800
			1000	1000	1000	1200	1200	1200	1400	1400	1400	1600	1600	1600	1800	1800	1800	2000	2000	2000
			B	L	A	B	L	A	B	L	A	B	L	A	B	L	A	B	L	A
Unshaded	N	0-30%	4	5	6	3	4	5	2	3	4	2	3	4	3	4	5	4	5	6
Unshaded	N	>30%	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6
Unshaded	E	0-30%	4	5	6	3	4	4	2	3	3	2	3	3	3	4	5	4	5	6
Unshaded	E	>30%	4	5	6	2	3	4	2	2	3	3	4	4	4	5	6	4	5	6
Unshaded	S	0-30%	4	5	6	3	4	5	2	3	3	2	2	3	3	4	4	4	5	6
Unshaded	S	>30%	4	5	6	2	3	3	1	1	2	1	1	2	2	3	3	4	5	6
Unshaded	W	0-30%	4	5	6	3	4	5	2	3	3	2	3	3	3	4	4	4	5	6
Unshaded	W	>30%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shaded	N	0%	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6
Shaded	E	All	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6
Shaded	S	All	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6
Shaded	W	All	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6	4	5	6
