			800	800	800	1000	1000	1000	1200	1200	1200	1400	1400	1400	1600	1600	1600	1800	1800	1800
			1000	1000	1000	1200	1200	1200	1400	1400	1400	1600	1600	1600	1800	1800	1800	2000	2000	2000
			B	L	A	B	L	A	B	L	A	B	L	A	B	L	A	B	L	A
Unshaded	N	0-30%	3	4	5	1	2	3	1	1	2	1	1	2	1	2	3	3	4	5
Unshaded	N	>30%	3	4	5	3	3	4	2	3	4	2	3	4	3	3	4	3	4	5
Unshaded	E	0-30%	3	4	5	1	2	3	1	1	1	1	1	2	1	2	4	3	4	5
Unshaded	E	>30%	3	3	4	1	1	1	1	1	1	1	2	3	3	4	5	4	5	6
Unshaded	S	0-30%	3	4	5	1	2	2	1	1	1	1	1	1	1	2	3	3	4	5
Unshaded	S	>30%	3	4	5	1	2	2	0	1	1	0	1	1	1	2	2	3	4	5
Unshaded	W	0-30%	3	4	5	1	2	3	1	1	1	1	1	1	1	2	3	3	4	5
Unshaded	W	>30%	4	5	6	3	4	5	1	2	3	1	1	1	1	1	1	3	3	4
Shaded	N	All	4	5	6	4	5	5	3	4	5	3	4	5	4	5	5	4	5	6
Shaded	E	All	4	5	6	3	4	5	3	4	5	3	4	5	4	5	6	4	5	6
Shaded	S	All	4	5	6	3	4	5	3	4	5	3	4	5	3	4	5	4	5	6
Shaded	W	All	4	5	6	4	5	6	3	4	5	3	4	5	3	4	5	4	5	6
